Field1,Field2,Match
laptop_name,laptop_ID,0
laptop_name,Company,0
laptop_name,Product,1
laptop_name,TypeName,0
laptop_name,Inches,0
laptop_name,ScreenResolution,0
laptop_name,Cpu,0
laptop_name,Ram,0
laptop_name,Memory,0
laptop_name,Gpu,0
laptop_name,OpSys,0
laptop_name,Weight,0
laptop_name,Price_euros,0
price,laptop_ID,0
price,Company,0
price,Product,0
price,TypeName,0
price,Inches,0
price,ScreenResolution,0
price,Cpu,0
price,Ram,0
price,Memory,0
price,Gpu,0
price,OpSys,0
price,Weight,0
price,Price_euros,1
brand_name,laptop_ID,0
brand_name,Company,1
brand_name,Product,0
brand_name,TypeName,0
brand_name,Inches,0
brand_name,ScreenResolution,0
brand_name,Cpu,0
brand_name,Ram,0
brand_name,Memory,0
brand_name,Gpu,0
brand_name,OpSys,0
brand_name,Weight,0
brand_name,Price_euros,0
rating,laptop_ID,0
rating,Company,0
rating,Product,0
rating,TypeName,0
rating,Inches,
rating,ScreenResolution,0
rating,Cpu,0
rating,Ram,0
rating,Memory,0
rating,Gpu,0
rating,OpSys,0
rating,Weight,0
rating,Price_euros,0
num_to_rate,laptop_ID,0
num_to_rate,Company,0
num_to_rate,Product,0
num_to_rate,TypeName,0
num_to_rate,Inches,0
num_to_rate,ScreenResolution,0
num_to_rate,Cpu,0
num_to_rate,Ram,0
num_to_rate,Memory,0
num_to_rate,Gpu,0
num_to_rate,OpSys,0
num_to_rate,Weight,0
num_to_rate,Price_euros,0
shiping,laptop_ID,0
shiping,Company,0
shiping,Product,0
shiping,TypeName,0
shiping,Inches,0
shiping,ScreenResolution,0
shiping,Cpu,0
shiping,Ram,0
shiping,Memory,0
shiping,Gpu,0
shiping,OpSys,0
shiping,Weight,0
shiping,Price_euros,0
save_prec,laptop_ID,0
save_prec,Company,0
save_prec,Product,0
save_prec,TypeName,0
save_prec,Inches,0
save_prec,ScreenResolution,0
save_prec,Cpu,0
save_prec,Ram,0
save_prec,Memory,0
save_prec,Gpu,0
save_prec,OpSys,0
save_prec,Weight,0
save_prec,Price_euros,0
touch,laptop_ID,0
touch,Company,0
touch,Product,0
touch,TypeName,0
touch,Inches,0
touch,ScreenResolution,0
touch,Cpu,0
touch,Ram,0
touch,Memory,0
touch,Gpu,0
touch,OpSys,0
touch,Weight,0
touch,Price_euros,0
display,laptop_ID,0
display,Company,0
display,Product,0
display,TypeName,0
display,Inches,0
display,ScreenResolution,1
display,Cpu,0
display,Ram,0
display,Memory,0
display,Gpu,0
display,OpSys,0
display,Weight,0
display,Price_euros,0
processor,laptop_ID,0
processor,Company,0
processor,Product,0
processor,TypeName,0
processor,Inches,0
processor,ScreenResolution,0
processor,Cpu,1
processor,Ram,0
processor,Memory,0
processor,Gpu,0
processor,OpSys,0
processor,Weight,0
processor,Price_euros,0
gpu,laptop_ID,0
gpu,Company,0
gpu,Product,0
gpu,TypeName,0
gpu,Inches,0
gpu,ScreenResolution,0
gpu,Cpu,0
gpu,Ram,0
gpu,Memory,0
gpu,Gpu,1
gpu,OpSys,0
gpu,Weight,0
gpu,Price_euros,0
hdd,laptop_ID,0
hdd,Company,0
hdd,Product,0
hdd,TypeName,0
hdd,Inches,0
hdd,ScreenResolution,0
hdd,Cpu,0
hdd,Ram,0
hdd,Memory,1
hdd,Gpu,0
hdd,OpSys,0
hdd,Weight,0
hdd,Price_euros,0
ssd,laptop_ID,0
ssd,Company,0
ssd,Product,0
ssd,TypeName,0
ssd,Inches,0
ssd,ScreenResolution,0
ssd,Cpu,0
ssd,Ram,0
ssd,Memory,1
ssd,Gpu,0
ssd,OpSys,0
ssd,Weight,0
ssd,Price_euros,0
